hostname,pl_name,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_dens,pl_insol,st_mass,st_teff,discoverymethod
"TOI-1736","TOI-1736 c",2,571.25000000000,1.3700000000,12.50000000,,,2800.00000000,500.00000000,-200.00000000,"Mass",7.880000,0.9000,1.037300,5636.00,"Radial Velocity"
"HD 99706","HD 99706 b",2,841.00000000000,1.9800000000,13.70000000,,,390.93090000,60.38770000,-60.38770000,"Msini",0.835000,3.9282,1.460000,4862.00,"Radial Velocity"
"Kepler-133","Kepler-133 b",2,8.12997600000,0.0830000000,1.76000000,0.30000000,-0.30000000,3.75000000,,,"M-R relationship",3.780000,408.5800,1.020000,5736.00,"Transit"
"HD 132406","HD 132406 b",1,908.00000000000,1.9800000000,12.80000000,,,1887.90073758,206.58846455,-187.51876013,"Mass",4.950000,0.4641,0.973000,5766.00,"Radial Velocity"
"KIC 5437945","KIC 5437945 b",2,440.78130000000,1.1967100000,6.40000000,1.60000000,-1.60000000,33.60000000,,,"M-R relationship",0.704000,2.9000,1.070000,6340.00,"Transit"
"HD 85390","HD 85390 b",1,799.52000000000,1.3730000000,6.16000000,,,31.46517000,3.17830000,-3.17830000,"Msini",0.740000,0.2281,0.758000,5186.00,"Radial Velocity"
"TOI-2969","TOI-2969 b",1,1.82371460000,0.0261000000,12.32987877,0.89671846,-0.89671846,368.68095212,12.71313628,-12.71313628,"Mass",1.100000,382.0000,0.710000,4738.00,"Transit"
"Kepler-1370","Kepler-1370 b",2,20.26416840000,0.1576300000,1.84000000,0.66000000,-0.26000000,4.04000000,,,"M-R relationship",3.560000,132.5870,1.190000,6202.00,"Transit"
"Kepler-1429","Kepler-1429 b",1,4.48487493000,0.0550000000,1.29000000,0.35000000,-0.14000000,2.21000000,,,"M-R relationship",5.660000,551.1560,1.050000,5902.00,"Transit"
"Kepler-1086","Kepler-1086 b",2,18.78425728000,0.1198000000,2.44000000,0.35000000,-0.28000000,6.53000000,,,"M-R relationship",2.470000,9.1570,0.700000,4350.00,"Transit"
