pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_orbper,pl_dens,discoverymethod,st_teff,st_mass,st_met
"Kepler-217 b",2.23000000,0.32000000,-0.32000000,5.60000000,,,"M-R relationship",5.37494300000,2.770000,"Transit",6171.00,1.342000,-0.0700
"Kepler-1132 b",2.35000000,0.19000000,-0.17000000,6.12000000,,,"M-R relationship",62.89162280000,2.590000,"Transit",5298.00,0.870000,-0.0100
"Kepler-1447 b",2.90000000,0.50000000,-0.24000000,8.75000000,,,"M-R relationship",56.67472850000,1.970000,"Transit",5722.00,0.970000,-0.0300
"Kepler-1878 b",2.92019781,,,8.86000000,,,"M-R relationship",4.44587993600,1.960000,"Transit",5918.00,0.956000,-0.2600
"Kepler-341 e",1.99000000,1.03000000,-1.03000000,4.62000000,,,"M-R relationship",42.47326900000,3.220000,"Transit",6012.00,0.976000,0.0700
"K2-176 b",1.49090097,0.12341971,-0.09253438,2.83000000,,,"M-R relationship",5.32943900000,4.690000,"Transit",5428.00,0.938545,0.1500
"Kepler-107 e",2.90300000,0.03500000,-0.03500000,14.10000000,3.30000000,-3.30000000,"Mass",14.74914300000,3.180000,"Transit",5854.00,1.238000,0.3210
"Kepler-1452 b",2.70000000,0.39000000,-0.35000000,7.75000000,,,"M-R relationship",42.91375100000,2.160000,"Transit",6101.00,1.410000,0.1400
"NGTS-4 b",3.18000000,0.26000000,-0.26000000,20.60000000,3.00000000,-3.00000000,"Mass",1.33735080000,3.450000,"Transit",5143.00,0.750000,-0.2800
"K2-38 b",1.54000000,0.14000000,-0.14000000,7.30000000,1.10000000,-1.00000000,"Mass",4.01593000000,11.000000,"Transit",5731.00,1.030000,0.2600
"TOI-2443 b",2.36300000,0.06600000,-0.06600000,4.80000000,1.10000000,-1.10000000,"Mass",15.66858000000,2.000000,"Transit",4375.00,0.642000,-0.2900
"Kepler-1020 b",2.28000000,0.08000000,-0.09000000,5.82000000,,,"M-R relationship",96.91514960000,2.700000,"Transit",5227.00,0.870000,0.0000
"HD 1666 b",12.70000000,,,2040.00000000,99.00000000,-70.00000000,"Msini",270.00000000000,5.470000,"Radial Velocity",6317.00,1.500000,0.3700
"GJ 685 b",2.95000000,,,9.00000000,1.70000000,-1.80000000,"Msini",24.16000000000,1.930000,"Radial Velocity",3816.00,0.550000,-0.1500
"TOI-2453 b",3.24380341,0.29909721,-0.25885686,10.60000000,,,"M-R relationship",4.44143463188,1.710000,"Transit",3720.23,0.500519,
"L 363-38 b",2.00000000,,,4.67000000,0.43000000,-0.43000000,"Msini",8.78100000000,3.210000,"Radial Velocity",3129.00,0.210000,
"TOI-1648 b",2.54000000,0.14000000,-0.12000000,7.40000000,1.10000000,-1.30000000,"Mass",7.33160200000,2.490000,"Transit",4850.00,0.830000,0.2000
"TOI-1470 c",2.47000000,0.02000000,-0.02000000,7.24000000,2.87000000,-2.77000000,"Mass",18.08816000000,2.660000,"Transit",3709.00,0.471000,0.0000
"HD 187123 b",14.20000000,,,166.21800000,13.66600000,-13.66600000,"Msini",3.09658280000,0.319000,"Radial Velocity",5790.00,1.040000,0.0900
"NGTS-13 b",12.80067800,0.51561400,-0.51561400,1538.29720000,139.84520000,-139.84520000,"Mass",4.11902700000,4.020000,"Transit",5819.00,1.300000,0.2500
"HD 130322 b",13.70000000,,,365.49000000,,,"Msini",10.70871000000,0.781000,"Radial Velocity",5387.00,0.920000,-0.0200
"K2-38 c",2.29000000,0.26000000,-0.26000000,8.30000000,1.30000000,-1.30000000,"Mass",10.56103000000,3.800000,"Transit",5731.00,1.030000,0.2600
"TOI-3261 b",3.82000000,0.42000000,-0.35000000,30.30000000,2.20000000,-2.40000000,"Mass",0.88313310000,3.000000,"Transit",5068.00,0.861000,0.1380
"Kepler-915 b",1.50000000,0.33000000,-0.19000000,2.86000000,,,"M-R relationship",4.59489604000,4.660000,"Transit",6173.00,1.210000,0.0800
"OGLE-TR-10 b",14.01100000,1.56900000,-1.34500000,197.04600000,44.49400000,-44.49400000,"Mass",3.10127800000,0.400000,"Transit",5950.00,1.140000,0.2800
"K2-77 b",2.49960270,0.16813471,-0.12329879,603.87700000,,,"Mass",8.20008440000,,"Transit",5160.00,0.847000,0.1300
"K2-123 b",2.76000000,0.16000000,-0.16000000,8.05000000,,,"M-R relationship",30.95152400000,2.100000,"Transit",4035.00,0.620000,0.0300
"TOI-1693 b",1.41000000,0.10000000,-0.10000000,2.57000000,,,"M-R relationship",1.76669570000,5.040000,"Transit",3499.00,0.490000,
"eps Eri b",13.80000000,,,317.82840700,31.78284070,-31.78284070,"Mass",2680.00000000000,0.665000,"Radial Velocity",5020.38,0.820000,-0.1300
"Kepler-224 c",3.12000000,0.26000000,-0.26000000,9.91000000,,,"M-R relationship",5.92500300000,1.790000,"Transit",5018.00,0.777000,-0.0600
"Kepler-956 b",3.00000000,0.78000000,-0.38000000,9.27000000,,,"M-R relationship",5.24867263100,1.890000,"Transit",6040.00,1.100000,0.0200
"Kepler-361 c",2.52000000,0.48000000,-0.48000000,6.90000000,,,"M-R relationship",55.18802300000,2.370000,"Transit",6169.00,1.191000,0.0400
"Kepler-1778 b",3.01665969,,,9.36000000,,,"M-R relationship",10.08740044000,1.870000,"Transit",6310.00,1.143000,-0.0600
"Kepler-339 d",1.17000000,0.53000000,-0.53000000,14.70000000,14.10000000,-10.00000000,"Mass",10.55834500000,50.400000,"Transit",5631.00,0.870000,0.0330
"Kepler-825 b",1.53000000,0.39000000,-0.22000000,2.96000000,,,"M-R relationship",3.77360059000,4.540000,"Transit",5976.00,1.030000,-0.0800
"WASP-132 c",1.84100000,0.09400000,-0.09300000,6.26000000,1.84000000,-1.83000000,"Mass",1.01153624000,5.470000,"Transit",4686.00,0.789000,0.1500
"GJ 676 A d",1.78000000,,,3.81394088,0.31782841,-0.31782841,"Msini",3.60076000000,3.720000,"Radial Velocity",3734.00,0.626000,0.2300
"Kepler-1052 b",2.93000000,0.54000000,-0.31000000,8.91000000,,,"M-R relationship",34.85382760000,1.950000,"Transit",5888.00,1.030000,0.0000
"HATS-63 b",13.52926300,0.43715100,-0.43715100,305.11680000,38.13960000,-38.13960000,"Mass",3.05665270000,0.670000,"Transit",5627.00,0.931000,0.0810
"Kepler-346 b",2.66000000,1.24000000,-1.24000000,7.56000000,,,"M-R relationship",6.51112700000,2.210000,"Transit",6033.00,0.943000,0.1000
"Kepler-688 b",9.76000000,1.76000000,-0.97000000,68.70000000,,,"M-R relationship",3.89593684400,0.406000,"Transit",5715.00,0.980000,0.0200
"Kepler-1838 b",1.66049425,,,3.40000000,,,"M-R relationship",12.14680004000,4.080000,"Transit",5877.00,1.187000,0.0400
"Kepler-1481 b",1.23000000,0.08000000,-0.06000000,2.04000000,,,"M-R relationship",5.94220998000,6.020000,"Transit",4908.00,0.800000,0.0400
"Kepler-1571 b",1.52000000,0.68000000,-0.34000000,2.92000000,,,"M-R relationship",3.38555488000,4.570000,"Transit",6297.00,1.230000,0.0400
"TOI-1052 b",2.87000000,0.29000000,-0.24000000,16.90000000,1.70000000,-1.70000000,"Mass",9.13970300000,3.930000,"Transit",6146.00,1.204000,0.1400
"Kepler-614 b",2.39000000,0.20000000,-0.17000000,6.30000000,,,"M-R relationship",14.03491514000,2.540000,"Transit",5268.00,0.850000,-0.0700
"Kepler-257 c",5.41000000,2.72000000,-2.72000000,25.20000000,,,"M-R relationship",6.58148400000,0.875000,"Transit",5180.00,0.916000,0.4000
"HD 76920 b",13.10000000,,,994.80291391,130.30964687,-136.66621501,"Msini",415.89100000000,2.430000,"Radial Velocity",4664.00,1.000000,-0.1900
"Kepler-178 c",2.88000000,1.23000000,-1.23000000,8.65000000,,,"M-R relationship",20.55280200000,1.990000,"Transit",5676.00,0.852000,-0.0400
"Kepler-1612 b",1.03000000,0.18000000,-0.11000000,1.08000000,,,"M-R relationship",3.91795101000,5.430000,"Transit",5643.00,0.960000,0.0300
"K2-295 b",10.05447300,0.12329900,-0.05604500,106.47305000,19.70546000,-19.70546000,"Mass",4.02486700000,0.612000,"Transit",4444.00,0.740000,0.1400
"HAT-P-55 b",14.84069045,0.25780656,-0.24659758,189.42573057,23.20147371,-22.88364530,"Mass",3.58523130000,0.318000,"Transit",5804.00,1.028000,0.0030
"TOI-5398 b",10.30000000,0.40000000,-0.40000000,58.70000000,5.70000000,-5.60000000,"Mass",10.59054700000,0.290000,"Transit",6000.00,1.146000,0.0900
"HD 147018 b",13.40000000,,,674.00000000,20.00000000,-20.00000000,"Msini",44.23600000000,1.540000,"Radial Velocity",5441.00,0.927000,0.1000
"K2-348 b",3.26000000,0.22000000,-0.11000000,10.70000000,,,"M-R relationship",4.68841800000,1.700000,"Transit",5077.00,0.830000,0.1300
"TOI-3457 b",10.64000000,0.25000000,-0.25000000,797.74930157,,,"Mass",32.60026800000,,"Transit",6300.00,1.040000,0.2800
"K2-19 c",4.10000000,0.20000000,-0.20000000,11.00000000,0.50000000,-0.40000000,"Mass",11.90600000000,0.877000,"Transit",5322.00,0.880000,0.0600
"GJ 1289 b",2.38000000,,,6.27000000,1.23000000,-1.25000000,"Msini",111.74000000000,2.560000,"Radial Velocity",3296.00,0.210000,0.0200
"HD 200964 c",13.70000000,,,385.84562000,22.88376000,-22.88376000,"Msini",852.50000000000,0.825000,"Radial Velocity",4982.00,1.390000,-0.1500
"Kepler-1271 b",1.48000000,0.23000000,-0.16000000,2.79000000,,,"M-R relationship",3.02559550000,4.730000,"Transit",6143.00,1.130000,-0.0100
"Kepler-1314 b",5.11000000,0.19000000,-0.19000000,22.90000000,,,"M-R relationship",5.42474928100,0.943000,"Transit",4188.00,0.600000,-0.2200
"HD 176986 d",2.49000000,,,6.76000000,0.91000000,-0.92000000,"Msini",61.37600000000,2.410000,"Radial Velocity",4931.00,0.789000,0.0300
"Kepler-805 b",2.89000000,0.13000000,-0.25000000,8.70000000,,,"M-R relationship",30.86389310000,1.980000,"Transit",6112.00,1.190000,-0.0600
"Kepler-300 b",1.67000000,0.76000000,-0.76000000,3.43000000,,,"M-R relationship",10.44634700000,4.050000,"Transit",5986.00,1.070000,0.0400
"TIC 245076932 b",10.87271128,0.53803107,-0.53803107,162.09248757,12.71313628,-15.89142035,"Mass",21.61389000000,0.746600,"Transit",6130.00,1.117000,0.0200
"Kepler-425 b",10.96200000,0.24700000,-0.24700000,79.45000000,25.43000000,-25.43000000,"Mass",3.79701816000,0.270000,"Transit",5170.00,0.930000,0.2400
"Kepler-187 b",1.41000000,0.28000000,-0.28000000,2.57000000,,,"M-R relationship",4.93886400000,5.040000,"Transit",6105.00,1.081000,-0.0400
"HIP 66074 b",12.90000000,,,1589.14203500,635.65681400,-635.65681400,"Mass",310.90000000000,4.070000,"Astrometry",4300.00,0.705000,0.1200
"17 Sco b",12.90000000,,,1373.01871824,47.67426105,-38.13940884,"Msini",578.38000000000,3.510000,"Radial Velocity",4157.00,1.220000,-0.0100
