source_id,random_index,flags_flame
5910768975275094784,31002,00
5406128597390275712,31108,10
5793656555826556288,31319,00
5622430499081513344,31401,00
2104013326225679744,31405,10
1872815820808096384,31447,00
3217216244585177600,31475,00
4049358216793874816,31485,00
4676120908805683072,31492,00
4063990143958306048,31728,00
1400595814548978432,31775,00
5223128287223256320,31794,00
2919144071137878016,31858,00
1396282494856489728,31867,00
617718487322047872,32078,00
476524632925041408,32103,00
4184107562969909760,32145,00
5958400540599470976,32192,00
