surface,species,dE_star,n_sites
Ag6W6,O1,-446.0008468416927,10
Ag6W6,S1,-335.8879306995077,10
Ag6Y6,C1,-157.2330352627905,11
Ag6Y6,H1,-17.262670899668592,10
Ag6Y6,N1,-278.38712564937305,10
Ag6Y6,O1,-446.6726787661537,10
Ag6Y6,S1,-335.3697085335807,10
Ag6Zn6,C1,-155.1261692406988,8
Ag6Zn6,H1,-16.019538011787517,9
Ag6Zn6,H1O1,-460.1852823234731,20
Ag6Zn6,N1,-275.41925661118876,8
Ag6Zn6,O1,-443.2027848661819,8
Ag6Zn6,S1,-333.462412161316,8
Ag6Zr6,C1,-156.90513944778286,8
Ag6Zr6,H1,-17.182978144253866,11
Ag6Zr6,N1,-278.5384006711829,8
Ag6Zr6,O1,-446.35429945236683,8
Ag6Zr6,S1,-335.34027656473336,8
Ag9Al3,C1,-154.51303227122844,9
Ag9Al3,C1H1,-172.72671641068882,9
Ag9Al3,C1H2,-190.01802497891185,9
Ag9Al3,C1H3,-207.76441700300347,8
Ag9Al3,H1,-16.21111254888092,9
Ag9Al3,H1N1,-293.3943635820542,9
Ag9Al3,H1S1,-349.5731457247239,9
Ag9Al3,H2O1,-476.8762899401554,9
Ag9Al3,N1,-275.3921725766122,9
Ag9Al3,O1,-443.80948566309235,9
Ag9Al3,S1,-333.48145509592723,9
Ag9Au3,C1,-153.80702298468532,9
Ag9Au3,C1H1,-171.8210445474324,9
Ag9Au3,C1H2,-189.20676559705316,6
Ag9Au3,C1H3,-207.1903997992631,8
Ag9Au3,H1,-16.11824798705493,9
Ag9Au3,H1N1,-291.80716723544174,9
Ag9Au3,H1O1,-459.5219542285704,54
Ag9Au3,H1S1,-349.24944400030654,9
Ag9Au3,H2O1,-476.80856624799344,9
Ag9Au3,N1,-273.81886573667,9
Ag9Au3,O1,-441.6007543697269,9
Ag9Au3,S1,-332.7174393023961,9
Ag9Bi3,C1,-154.111323944795,5
Ag9Bi3,C1H1,-171.4069178978025,9
Ag9Bi3,C1H2,-189.0756207406739,9
Ag9Bi3,C1H3,-207.2708529767915,9
Ag9Bi3,H1,-16.02084225341241,8
Ag9Bi3,H1N1,-291.8730655879772,9
Ag9Bi3,H1O1,-459.7580372017328,54
Ag9Bi3,H1S1,-349.32719223022286,9
Ag9Bi3,H2O1,-476.77502699285833,9
Ag9Bi3,N1,-273.87591413082555,6
Ag9Bi3,O1,-442.0376657913439,6
Ag9Bi3,S1,-332.75703703607724,6
Ag9Cr3,C1,-156.9168132675186,9
Ag9Cr3,H1,-16.764856999529,9
Ag9Cr3,N1,-278.00482053626183,9
Ag9Cr3,O1,-445.3579706868404,9
Ag9Cr3,S1,-334.68041479196836,9
Ag9Cu3,C1,-154.14839578177634,9
Ag9Cu3,C1H1,-172.18191634191317,9
Ag9Cu3,C1H2,-189.46110727272753,9
Ag9Cu3,C1H3,-207.27620627234865,9
Ag9Cu3,H1,-16.281506494146015,9
Ag9Cu3,H1N1,-292.4430371392227,9
Ag9Cu3,H1O1,-459.8671236940063,54
Ag9Cu3,H1S1,-349.39333221985,9
Ag9Cu3,H2O1,-476.784183487478,9
Ag9Cu3,N1,-274.41846409026766,9
Ag9Cu3,O1,-442.337617419922,9
Ag9Cu3,S1,-333.19885480626544,9
Ag9Ga3,C1,-154.34656037181412,10
Ag9Ga3,C1H1,-172.36947039704683,9
